version,cve
2026.01.1,
2026.01.0,
2025.12.1,
2025.12.0,
2025.11.0,
2025.10.0,
2025.09.1,
2025.09.0,CVE-2025-47906
2025.09.0,CVE-2025-47907
2025.09.0,CVE-2025-47906
2025.09.0,CVE-2025-47907
2025.07.0,CVE-2025-4674
2025.07.0,CVE-2025-4674
2025.06.0,CVE-2025-4673
2025.06.0,CVE-2025-0913
2025.06.0,CVE-2025-22874
2025.06.0,CVE-2025-4673
2025.06.0,CVE-2025-0913
2025.06.0,CVE-2025-22874
2025.05.0,CVE-2025-22873
2025.05.0,CVE-2025-30204
2025.05.0,CVE-2025-22873
2025.05.0,CVE-2025-30204
2025.04.0,CVE-2025-22872
2025.04.0,CVE-2025-22871
2025.04.0,CVE-2025-22872
2025.04.0,CVE-2025-22871
2025.03.0,CVE-2025-22870
2025.03.0,CVE-2025-22870
2025.02.0,CVE-2025-22866
2025.02.0,CVE-2025-22868
2025.02.0,CVE-2025-22869
2025.02.0,CVE-2025-22866
2025.02.0,CVE-2025-22868
2025.02.0,CVE-2025-22869
2025.01.0,CVE-2024-45339
2025.01.0,CVE-2024-45341
2025.01.0,CVE-2024-45336
2025.01.0,CVE-2024-45339
2025.01.0,CVE-2024-45341
2025.01.0,CVE-2024-45336
2024.12.0,CVE-2024-45337
2024.12.0,CVE-2024-45338
2024.12.0,CVE-2024-45337
2024.12.0,CVE-2024-45338
2024.11.0,
2024.09.0,CVE-2024-34155
2024.09.0,CVE-2024-34156
2024.09.0,CVE-2024-34158
2024.09.0,CVE-2024-34155
2024.09.0,CVE-2024-34156
2024.09.0,CVE-2024-34158
2024.08.0,CVE-2024-24791
2024.08.0,CVE-2019-25211
2024.08.0,CVE-2024-24791
2024.08.0,CVE-2019-25211
2024.06.0,CVE-2024-24786
2024.06.0,CVE-2024-24789
2024.06.0,CVE-2024-24790
2024.06.0,CVE-2024-24786
2024.06.0,CVE-2024-24789
2024.06.0,CVE-2024-24790
2024.05.0,CVE-2024-24787
2024.05.0,CVE-2024-24788
2024.05.0,CVE-2024-24787
2024.05.0,CVE-2024-24788
2024.04.1,
2024.04.0,CVE-2023-39320
2024.04.0,CVE-2023-39320
2024.04.0,CVE-2023-39319
2024.04.0,CVE-2023-39321
2024.04.0,CVE-2023-45288
2024.04.0,CVE-2023-45857
2024.04.0,CVE-2024-31207
2024.04.0,CVE-2023-39320
2024.04.0,CVE-2023-39320
2024.04.0,CVE-2023-39319
2024.04.0,CVE-2023-39321
2024.04.0,CVE-2023-45288
2024.04.0,CVE-2023-45857
2024.04.0,CVE-2024-31207
2024.03.0,
